time,temperature,volte
0,16.84875488,3.5
0.5,16.84875488,3.5
1,16.85180664,3.5
1.5,16.85180664,3.5
2,16.85180664,3.5
2.5,16.84875488,3.5
3,16.84570313,3.5
3.5,16.84570313,3.5
4,16.84570313,3.5
4.5,16.84875488,3.5
5,16.84570313,3.5
5.5,16.84570313,3.5
6,16.84570313,3.5
6.5,16.84570313,3.5
7,16.84570313,3.5
7.5,16.84875488,3.5
8,16.85180664,3.5
8.5,16.85180664,3.5
9,16.85180664,3.5
9.5,16.85180664,3.5
10,16.94335938,3.5
10.5,16.94946289,3.5
11,16.95556641,3.5
11.5,16.95556641,3.5
12,16.94946289,3.5
12.5,16.94946289,3.5
13,16.94641113,3.5
13.5,16.95556641,3.5
14,16.95556641,3.5
14.5,16.95556641,3.5
15,16.94946289,3.5
15.5,16.95556641,3.5
16,16.95556641,3.5
16.5,16.94946289,3.5
17,16.94946289,3.5
17.5,16.94641113,3.5
18,16.94946289,3.5
18.5,16.94946289,3.5
19,16.94641113,3.5
19.5,16.94641113,3.5
20,16.94641113,3.5
20.5,16.94641113,3.5
21,16.94641113,3.5
21.5,16.94946289,3.5
22,16.94946289,3.5
22.5,16.94946289,3.5
23,16.95556641,3.5
23.5,16.95556641,3.5
24,16.94641113,3.5
24.5,16.94641113,3.5
25,16.95556641,3.5
25.5,16.95556641,3.5
26,17.03796387,3.5
26.5,17.05322266,3.5
27,17.05627441,3.5
27.5,17.05322266,3.5
28,16.95861816,3.5
28.5,16.95556641,3.5
29,16.95556641,3.5
29.5,16.94946289,3.5
30,17.03186035,3.5
30.5,17.0501709,3.5
31,17.05322266,3.5
31.5,17.02575684,3.5
32,16.95861816,3.5
32.5,16.95556641,3.5
33,16.95556641,3.5
33.5,16.95556641,3.5
34,17.02575684,3.5
34.5,17.0501709,3.5
35,17.0501709,3.5
35.5,17.03796387,3.5
36,16.95556641,3.5
36.5,16.94641113,3.5
37,16.94641113,3.5
37.5,16.94641113,3.5
38,17.0501709,3.5
38.5,17.05322266,3.5
39,17.05627441,3.5
39.5,17.06237793,3.5
40,17.14477539,3.5
40.5,17.14782715,3.5
41,17.14782715,3.5
41.5,17.14782715,3.5
42,17.14477539,3.5
42.5,17.14782715,3.5
43,17.14477539,3.5
43.5,17.14477539,3.5
44,16.96777344,3.5
44.5,16.94946289,3.5
45,16.94946289,3.5
45.5,17.06848145,3.5
46,17.14477539,3.5
46.5,17.15087891,3.5
47,17.15087891,3.5
47.5,17.15087891,3.5
48,17.15087891,3.5
48.5,17.15087891,3.5
49,17.14782715,3.5
49.5,17.15087891,3.5
50,17.14782715,3.5
50.5,17.15087891,3.5
51,17.14782715,3.5
51.5,17.23632813,3.5
52,17.2454834,3.5
52.5,17.2454834,3.5
53,17.24853516,3.5
53.5,17.2454834,3.5
54,17.2454834,3.5
54.5,17.2454834,3.5
55,17.24243164,3.5
55.5,17.24853516,3.5
56,17.25463867,3.5
56.5,17.24853516,3.5
57,17.24853516,3.5
57.5,17.2454834,3.5
58,17.2454834,3.5
58.5,17.2454834,3.5
59,17.2454834,3.5
59.5,17.24853516,3.5
60,17.16918945,3.5
60.5,17.15087891,3.5
61,17.14782715,3.5
61.5,17.17224121,3.5
62,17.24853516,3.5
62.5,17.24853516,3.5
63,17.24853516,3.5
63.5,17.2454834,3.5
64,17.16918945,3.5
64.5,17.15087891,3.5
65,17.15087891,3.5
65.5,17.14782715,3.5
66,17.14782715,3.5
66.5,17.14477539,3.5
67,17.14477539,3.5
67.5,17.14477539,3.5
68,17.14782715,3.5
68.5,17.15087891,3.5
69,17.15087891,3.5
69.5,17.15087891,3.5
70,17.15087891,3.5
70.5,17.15087891,3.5
71,17.15087891,3.5
71.5,17.15087891,3.5
72,17.14782715,3.5
72.5,17.14782715,3.5
73,17.14477539,3.5
73.5,17.14477539,3.5
74,17.14477539,3.5
74.5,17.14477539,3.5
75,17.14782715,3.5
75.5,17.21191406,3.5
76,17.25463867,3.5
76.5,17.25463867,3.5
77,17.24853516,3.5
77.5,17.24853516,3.5
78,17.2454834,3.5
78.5,17.2454834,3.5
79,17.2454834,3.5
79.5,17.19055176,3.5
80,17.15087891,3.5
80.5,17.14782715,3.5
81,17.14477539,3.5
81.5,17.14477539,3.5
82,17.14782715,3.5
82.5,17.14477539,3.5
83,17.14782715,3.5
83.5,17.15087891,3.5
84,17.15087891,3.5
84.5,17.15087891,3.5
85,17.15087891,3.5
85.5,17.15087891,3.5
86,17.15087891,3.5
86.5,17.14782715,3.5
87,17.14782715,3.5
87.5,17.14782715,3.5
88,17.22717285,3.5
88.5,17.34008789,3.5
89,17.34924316,3.5
89.5,17.34313965,3.5
90,17.34313965,3.5
90.5,17.34008789,3.5
91,17.34008789,3.5
91.5,17.34008789,3.5
92,17.4407959,3.5
92.5,17.44689941,3.5
93,17.44689941,3.5
93.5,17.44689941,3.5
94,17.44689941,3.5
94.5,17.44384766,3.5
95,17.44689941,3.5
95.5,17.44689941,3.5
96,17.44384766,3.5
96.5,17.44384766,3.5
97,17.44689941,3.5
97.5,17.44689941,3.5
98,17.44689941,3.5
98.5,17.44995117,3.5
99,17.44995117,3.5
99.5,17.44995117,3.5
100,17.44995117,3.5
100.5,17.44689941,3.5
101,17.44995117,3.5
101.5,17.44995117,3.5
102,17.44689941,3.5
102.5,17.44995117,3.5
103,17.44689941,3.5
103.5,17.44384766,3.5
104,17.35229492,3.5
104.5,17.34924316,3.5
105,17.34924316,3.5
105.5,17.41638184,3.5
106,17.44995117,3.5
106.5,17.44995117,3.5
107,17.44689941,3.5
107.5,17.44689941,3.5
108,17.44384766,3.5
108.5,17.44384766,3.5
109,17.44689941,3.5
109.5,17.50183105,3.5
110,17.54150391,3.5
110.5,17.54455566,3.5
111,17.54760742,3.5
111.5,17.55371094,3.5
112,17.44995117,3.5
112.5,17.44995117,3.5
113,17.44995117,3.5
113.5,17.44995117,3.5
114,17.44995117,3.5
114.5,17.44689941,3.5
115,17.44995117,3.5
115.5,17.52929688,3.5
116,17.54150391,3.5
116.5,17.54455566,3.5
117,17.54455566,3.5
117.5,17.59033203,3.5
118,17.64526367,3.5
118.5,17.64831543,3.5
119,17.64831543,3.5
119.5,17.56591797,3.5
120,17.56591797,3.5
120.5,17.55371094,3.5
121,17.54760742,3.5
121.5,17.54760742,3.5
122,17.54455566,3.5
122.5,17.54455566,3.5
123,17.54760742,3.5
123.5,17.54760742,3.5
124,17.70935059,3.5
124.5,17.74291992,3.5
125,17.74291992,3.5
125.5,17.74291992,3.5
126,17.74291992,3.5
126.5,17.74291992,3.5
127,17.74291992,3.5
127.5,17.74291992,3.5
128,17.74597168,3.5
128.5,17.74597168,3.5
129,17.74902344,3.5
129.5,17.74902344,3.5
130,17.74902344,3.5
130.5,17.74902344,3.5
131,17.74902344,3.5
131.5,17.74902344,3.5
132,17.74902344,3.5
132.5,17.74597168,3.5
133,17.74291992,3.5
133.5,17.74291992,3.5
134,17.74597168,3.5
134.5,17.74902344,3.5
135,17.74597168,3.5
135.5,17.74597168,3.5
136,17.64831543,3.5
136.5,17.64526367,3.5
137,17.64526367,3.5
137.5,17.65441895,3.5
138,17.83447266,3.5
138.5,17.84667969,3.5
139,17.8527832,3.5
139.5,17.77954102,3.5
140,17.74902344,3.5
140.5,17.74902344,3.5
141,17.74902344,3.5
141.5,17.7520752,3.5
142,17.7520752,3.5
142.5,17.74597168,3.5
143,17.74291992,3.5
143.5,17.74902344,3.5
144,17.74597168,3.5
144.5,17.74291992,3.5
145,17.73986816,3.5
145.5,17.74291992,3.5
146,17.84362793,3.5
146.5,17.84362793,3.5
147,17.84362793,3.5
147.5,17.90161133,3.5
148,17.94433594,3.5
148.5,17.9473877,3.5
149,17.95043945,3.5
149.5,17.9473877,3.5
150,17.9473877,3.5
150.5,17.9473877,3.5
151,17.9473877,3.5
151.5,17.99316406,3.5
152,18.04504395,3.5
152.5,18.04504395,3.5
153,18.0480957,3.5
153.5,18.0480957,3.5
154,18.0480957,3.5
154.5,18.0480957,3.5
155,18.0480957,3.5
155.5,18.05114746,3.5
156,18.05114746,3.5
156.5,18.05725098,3.5
157,18.05114746,3.5
157.5,18.0480957,3.5
158,18.0480957,3.5
158.5,18.04504395,3.5
159,18.04504395,3.5
159.5,18.04504395,3.5
160,18.0480957,3.5
160.5,18.0480957,3.5
161,18.05114746,3.5
161.5,18.05114746,3.5
162,18.05114746,3.5
162.5,18.05114746,3.5
163,18.05725098,3.5
163.5,18.03283691,3.5
164,17.95349121,3.5
164.5,17.9473877,3.5
165,17.9473877,3.5
165.5,17.9473877,3.5
166,18.0267334,3.5
166.5,18.0480957,3.5
167,18.0480957,3.5
167.5,18.0480957,3.5
168,18.0480957,3.5
168.5,18.0480957,3.5
169,18.0480957,3.5
169.5,18.0480957,3.5
170,18.1427002,3.5
170.5,18.14880371,3.5
171,18.14880371,3.5
171.5,18.15185547,3.5
172,18.15185547,3.5
172.5,18.15185547,3.5
